distribution_center_id,distribution_center_name,items,valid_timeline_items,avg_ship_lead_days,median_ship_lead_days,p90_ship_lead_days,avg_delivery_lead_days,median_delivery_lead_days,p90_delivery_lead_days,avg_end_to_end_lead_days,median_end_to_end_lead_days,p90_end_to_end_lead_days,observed_return_rate
10,Savannah GA,11929,9561,1.4549673649058878,1.410763888888889,2.716041666666667,2.4893529154910654,2.5194444444444444,4.505277777777778,3.484969400518178,3.4270833333333335,5.9840277777777775,0.28730350665054416
3,Houston TX,22514,18056,1.445936365822735,1.3916666666666666,2.6907638888888896,2.4591721498165255,2.4319444444444445,4.504166666666666,3.449432609546168,3.3520833333333333,5.962083333333334,0.29343287359230674
2,Chicago IL,24213,19415,1.4665088639707013,1.4125,2.7229166666666664,2.483194852941177,2.4600694444444446,4.507708333333333,3.473840247106021,3.401041666666667,5.970347222222222,0.27541176470588236
9,Charleston SC,16550,13341,1.4577544473607489,1.403125,2.7188194444444447,2.458527252304366,2.467361111111111,4.48777777777778,3.440038836356617,3.353472222222222,5.913055555555557,0.29069767441860467
5,New Orleans LA,12921,10474,1.4701458495749342,1.4121527777777778,2.7333333333333334,2.5055409502373776,2.5097222222222224,4.546805555555555,3.535086237312058,3.4854166666666666,6.007430555555556,0.2813814478636263
8,Mobile AL,18325,14776,1.4658965706858598,1.4236111111111112,2.7323611111111115,2.518432137285492,2.5100694444444445,4.521597222222223,3.4969998619915104,3.3930555555555557,6.029444444444445,0.28517940717628704
7,Philadelphia PA,16767,13500,1.4433856685400608,1.40625,2.688888888888889,2.476381877839472,2.463888888888889,4.486111111111111,3.4492994922286204,3.3201388888888888,5.954027777777779,0.28066633013629483
4,Los Angeles CA,17094,13768,1.4592568166545117,1.4090277777777778,2.725,2.495641726651905,2.5204861111111114,4.494583333333334,3.493107197961705,3.439583333333333,5.934027777777778,0.2802325581395349
1,Memphis TN,24065,19341,1.4678751861306052,1.4270833333333333,2.7104166666666667,2.5083274000237377,2.4993055555555554,4.530555555555556,3.5076877084430444,3.439583333333333,5.966666666666667,0.2844428622285511
6,Port Authority of New York/New Jersey NY/NJ,16484,13190,1.4637468049917315,1.4204861111111111,2.725,2.50166733188885,2.4795138888888886,4.515625,3.4705530957066335,3.402083333333333,5.965277777777778,0.2851522408484434
