month_start,traffic_source,sessions,users,product_view_sessions,cart_sessions,purchase_sessions,abandoned_cart_sessions,session_conversion_rate,cart_abandonment_rate,avg_events_per_session,avg_session_duration_seconds,avg_event_identity_coverage_rate
2024-02-01,Email,7082,3036,7082,5358,3733,1625,0.5271109855972889,0.30328480776409106,4.798926856820107,46265.92304433776,0.5271109855972889
2023-09-01,Email,6142,2115,6142,4392,2594,1798,0.42233800065125365,0.4093806921675774,4.317323347443829,38357.759198957996,0.42233800065125365
2023-06-01,Email,5547,1685,5547,3827,2055,1772,0.37047052460789615,0.4630258688267572,4.097349918875068,34510.09698936362,0.37047052460789615
2024-04-01,YouTube,2045,1166,2045,1628,1255,373,0.6136919315403423,0.2291154791154791,5.253789731051345,57898.428850855744,0.6136919315403423
2021-08-01,Adwords,2985,488,2985,1760,558,1202,0.18693467336683417,0.6829545454545455,3.1715242881072028,17322.851926298157,0.18693467336683417
2024-01-01,Facebook,1571,769,1571,1197,797,400,0.5073201782304265,0.3341687552213868,4.607256524506684,43312.28389560789,0.5073201782304265
2021-03-01,Adwords,2760,384,2760,1566,424,1142,0.1536231884057971,0.7292464878671775,2.9804347826086954,15440.291304347826,0.1536231884057971
2023-01-01,Organic,586,220,586,409,223,186,0.38054607508532423,0.4547677261613692,4.092150170648464,30359.98122866894,0.38054607508532423
2023-10-01,Adwords,4269,1659,4269,3074,1891,1183,0.44296088076832985,0.3848405985686402,4.406184118060436,39328.62988990396,0.44296088076832985
2023-10-01,Facebook,1405,595,1405,1018,631,387,0.4491103202846975,0.3801571709233792,4.452669039145907,42305.36654804271,0.4491103202846975
2024-01-01,Adwords,4734,2009,4734,3502,2332,1170,0.49260667511618084,0.3340948029697316,4.660329531051964,45998.83565694973,0.49260667511618084
2020-01-01,Email,3885,228,3885,2084,272,1812,0.07001287001287002,0.8694817658349329,2.5981981981981983,6904.168854568855,0.07001287001287002
2023-02-01,Adwords,3331,1018,3331,2223,1154,1069,0.3464425097568298,0.4808816914080072,3.9189432602821976,32124.769138396878,0.3464425097568298
2023-08-01,YouTube,1362,538,1362,972,566,406,0.4155653450807636,0.4176954732510288,4.356093979441997,36845.5389133627,0.4155653450807636
2023-11-01,Organic,721,313,721,512,325,187,0.4507628294036061,0.365234375,4.403606102635229,39082.25242718447,0.4507628294036061
2023-07-01,Email,5813,1902,5813,4078,2332,1746,0.4011697918458627,0.4281510544384502,4.230517804920007,35871.470497161536,0.4011697918458627
2024-04-01,Adwords,6087,3190,6087,5001,3843,1158,0.6313454903893544,0.23155368926214756,5.407754230326926,57695.26285526532,0.6313454903893544
2022-12-01,Adwords,3522,976,3522,2311,1106,1205,0.3140261215218626,0.5214192990047598,3.753833049403748,28328.55621805792,0.3140261215218626
2022-10-01,Facebook,1169,326,1169,741,340,401,0.290846877673225,0.5411605937921727,3.608212147134303,24924.448246364413,0.290846877673225
2023-08-01,Adwords,4056,1495,4056,2895,1728,1167,0.4260355029585799,0.40310880829015544,4.345414201183432,37614.805473372784,0.4260355029585799
2022-11-01,Adwords,3312,977,3312,2173,1106,1067,0.33393719806763283,0.49102623101702714,3.8448067632850242,30160.897644927536,0.33393719806763283
