month_start,items,valid_timeline_items,avg_ship_lead_days,median_ship_lead_days,p90_ship_lead_days,avg_delivery_lead_days,median_delivery_lead_days,p90_delivery_lead_days,avg_end_to_end_lead_days,median_end_to_end_lead_days,p90_end_to_end_lead_days,observed_return_rate,cancellation_rate
2019-01-01,16,15,1.1134548611111112,1.0743055555555556,1.9521527777777776,,,,,,,,0.25
2019-02-01,46,37,1.420044191919192,1.2555555555555555,2.639097222222223,2.6934974747474745,2.3201388888888888,4.754652777777778,4.171180555555555,3.9027777777777777,6.808888888888889,0.3181818181818182,0.08695652173913043
2019-03-01,112,94,1.4620192307692303,1.4711805555555555,2.380138888888889,2.4550480769230774,2.2420138888888888,4.395138888888889,3.4381111111111107,3.4277777777777776,6.287916666666668,0.23076923076923078,0.17857142857142858
2019-04-01,159,119,1.4596080669710803,1.382638888888889,2.7255555555555553,2.424183006535947,2.248611111111111,4.560833333333334,3.6257532956685496,3.7118055555555554,6.3140277777777785,0.2647058823529412,0.18238993710691823
2019-05-01,188,155,1.3914524231678487,1.301388888888889,2.7225,2.697048611111111,2.9086805555555557,4.498194444444444,3.3867854267310786,3.1840277777777777,5.678194444444444,0.25,0.14361702127659576
2019-06-01,265,204,1.4088527996500435,1.2729166666666667,2.7756944444444445,2.3586184210526313,2.2395833333333335,4.425694444444445,3.369130291005291,3.361111111111111,5.825208333333333,0.30526315789473685,0.13584905660377358
2019-07-01,304,244,1.4991078317901239,1.463888888888889,2.7057638888888906,2.442097701149425,2.3868055555555556,4.629513888888889,3.520472756410256,3.4065972222222225,5.828194444444446,0.1810344827586207,0.1118421052631579
2019-08-01,345,270,1.4396178092986605,1.2972222222222223,2.863888888888889,2.392816484517304,2.593055555555556,4.3606944444444435,3.303803516819571,2.9770833333333333,5.768750000000001,0.3114754098360656,0.1681159420289855
2019-09-01,317,276,1.6495956399437417,1.7149305555555556,2.782708333333334,2.5060625,2.3541666666666665,4.440277777777778,3.8100950292397653,3.783333333333333,6.4541666666666675,0.25,0.11356466876971609
2019-10-01,476,393,1.3550020627062713,1.2986111111111112,2.559861111111111,2.39339638718473,2.1951388888888888,4.433055555555557,3.2912404214559383,3.267361111111111,5.687083333333333,0.25766871165644173,0.1869747899159664
2019-11-01,458,378,1.5047521175884406,1.5006944444444446,2.7622222222222224,2.359783368273934,2.384027777777778,4.349722222222224,3.3785989114114123,3.247222222222222,5.8819444444444455,0.2578616352201258,0.1331877729257642
2019-12-01,502,395,1.5005623156342185,1.4361111111111111,2.7736111111111112,2.6737531565656565,2.6729166666666666,4.651736111111111,3.5510460618846715,3.4743055555555555,5.932500000000001,0.26704545454545453,0.13147410358565736
2020-01-01,616,485,1.5028103690332932,1.4513888888888888,2.7480555555555553,2.347325450450451,2.3284722222222225,4.198611111111111,3.45356691919192,3.529166666666667,5.853402777777778,0.25225225225225223,0.14123376623376624
2020-02-01,611,503,1.4525929256594727,1.4520833333333334,2.6865277777777776,2.556291989664082,2.4930555555555554,4.536111111111111,3.527441294387171,3.537152777777778,5.679652777777779,0.29767441860465116,0.14402618657937807
2020-03-01,727,580,1.421278659611993,1.3930555555555555,2.6720833333333336,2.3672132976349842,2.4402777777777778,4.2804166666666665,3.3418402777777794,3.192013888888889,5.888402777777779,0.2289156626506024,0.15543328748280605
2020-04-01,834,688,1.5175342617152967,1.5215277777777778,2.8086111111111114,2.5506401556279403,2.5590277777777777,4.54375,3.5073423032407405,3.390625,6.360069444444444,0.26058631921824105,0.16666666666666666
2020-05-01,826,667,1.5412558685446007,1.5152777777777777,2.81625,2.483062664041995,2.486111111111111,4.726041666666667,3.7100663163163152,3.6638888888888888,6.2,0.22440944881889763,0.15375302663438256
2020-06-01,880,701,1.5138972556894255,1.4743055555555555,2.7705555555555557,2.4771092132505173,2.2708333333333335,4.399027777777778,3.499293942772204,3.4402777777777778,6.187361111111111,0.27639751552795033,0.13522727272727272
2020-07-01,979,778,1.473195954106281,1.4510416666666668,2.7140972222222226,2.5624537037037047,2.628125,4.500694444444444,3.5326618837380432,3.5347222222222223,5.8194444444444455,0.26666666666666666,0.13789581205311544
