month_start,year,month_number,is_complete_month,orders,customers,items,gross_sales_value,cancelled_value,returned_value,net_sales_value,net_profit_value,net_margin_rate,average_order_value,items_per_order,item_cancellation_rate,item_return_rate
2021-11-01,2021,11,1,1425,1411,2015,129154.32010698318,19755.10002732277,15071.999985218048,94327.22009444237,49452.8100407041,0.5242687104654512,66.19454041715254,1.4140350877192982,0.14789081885856079,0.09875930521091811
2023-04-01,2023,4,1,3060,2995,4348,256636.77010059357,39650.690036058426,23836.119991779327,193149.9600727558,100114.81687565282,0.5183268836190363,63.120901984560724,1.4209150326797386,0.16191352345906163,0.09176632934682613
2023-08-01,2023,8,1,3947,3837,5675,331357.40030503273,53132.64009284973,32094.99002456665,246129.77018761635,126847.267464951,0.5153674314499203,62.35869525908699,1.4378008614137319,0.15330396475770924,0.09814977973568281
2024-04-01,2024,4,1,8703,7656,12313,748773.5407816172,120729.52016091347,77886.14010381699,550157.8805168867,285251.2633104902,0.5184898252161537,63.214739804307335,1.414799494427209,0.1530902298383822,0.10671647851863884
2022-12-01,2022,12,1,2634,2589,3742,222747.49030258134,39009.13006424904,23004.09003329277,160734.27020503953,83145.35769094461,0.5172845690273818,61.02288162681835,1.4206529992406987,0.1619454836985569,0.10048102618920364
2023-09-01,2023,9,1,4091,3986,5762,348572.6503465362,46579.430060863495,40854.69997860864,261138.52030706406,135291.1840183569,0.5180820656380856,63.832442020792975,1.4084575898313372,0.14404720583130856,0.11541131551544602
2022-09-01,2022,9,1,2221,2190,3149,186716.80036473274,28475.310034751892,20721.91007375717,137519.58025622368,71515.51779418097,0.5200388021904568,61.917865941568515,1.4178298063935164,0.1470308034296602,0.10860590663702763
2022-10-01,2022,10,1,2409,2372,3428,203724.65024209023,29335.54003405571,21904.080018758774,152485.03018927574,79389.95057552485,0.5206409473571284,63.298061514850865,1.422997094229971,0.1441073512252042,0.10939323220536756
2022-11-01,2022,11,1,2464,2432,3512,206830.18018698692,32251.690044403076,19074.45000219345,155504.0401403904,80691.4385891612,0.5189025218657488,63.11040590113247,1.4253246753246753,0.166002277904328,0.09026195899772209
2022-08-01,2022,8,1,2233,2197,3206,191700.59009742737,31892.41000366211,17195.38999271393,142612.79010105133,74545.26408850415,0.5227109296135607,63.866005419190024,1.4357366771159874,0.16188396756082346,0.09544603867747972
2020-04-01,2020,4,1,566,560,834,47403.100025177,7132.789993286133,5464.039996147156,34806.27003574371,18079.900643383822,0.5194437848358061,61.495176741596666,1.4734982332155477,0.16666666666666666,0.09592326139088729
2023-11-01,2023,11,1,4525,4363,6510,390124.90049290657,55312.49016237259,36344.73005270958,298467.6802778244,155330.05179197033,0.5204250311034802,65.95970834869047,1.4386740331491712,0.14393241167434717,0.09431643625192013
2021-06-01,2021,6,1,1163,1150,1635,102529.76008415222,15666.330001831055,12007.980024337769,74855.4500579834,38933.34115284365,0.5201136473387802,64.36410151159363,1.405846947549441,0.14495412844036698,0.10275229357798166
2020-12-01,2020,12,1,849,842,1171,69198.34002423286,10742.249994754791,6554.160014629364,51901.93001484871,27052.181914072433,0.5212172631409473,61.133015329621564,1.3792697290930507,0.1605465414175918,0.08710503842869342
2019-04-01,2019,4,1,103,102,159,9934.070021629333,1732.8899965286255,853.9900035858154,7347.190021514893,3649.662372937119,0.4967426134685172,71.33194195645527,1.5436893203883495,0.18238993710691823,0.11320754716981132
2019-01-01,2019,1,1,13,13,16,1238.8199949264526,203.18000030517578,0.0,1035.6399946212769,566.2552654280584,0.546768441127201,79.66461497086745,1.2307692307692308,0.25,0.0
2024-05-01,2024,5,0,6556,4973,9693,579392.6304626465,82921.62002944946,59139.34008049965,437331.6703526974,226488.91303049278,0.517888203357957,66.70708821731199,1.4784929835265406,0.13989476942123183,0.10244506344784897
2021-07-01,2021,7,1,1301,1278,1818,109838.75006127357,18378.20003414154,11443.859993457794,80016.69003367424,41386.45110730905,0.517222733030971,61.50398926493024,1.3973866256725596,0.1694169416941694,0.09735973597359736
2022-05-01,2022,5,1,1957,1924,2751,160890.39015698433,25815.390017271042,15422.830012083054,119652.17012763023,61661.01850596847,0.5153355634101419,61.1406081387993,1.405723045477772,0.15121773900399854,0.09632860777898945
2023-06-01,2023,6,1,3321,3248,4692,273169.1602535248,36540.38003516197,31125.540013313293,205503.24020504951,106415.87248707368,0.5178306307038895,61.87992779435396,1.4128274616079495,0.13853367433930094,0.10848252344416028
2023-03-01,2023,3,1,3004,2942,4306,249256.92026913166,38778.020054101944,25701.000002622604,184777.9002124071,95638.86576622212,0.5175882270351742,61.51061924514218,1.433422103861518,0.15234556432884347,0.10520204366000929
2024-02-01,2024,2,1,5813,5500,8226,496183.940307755,70339.59004688263,43871.749995827675,381972.6002650447,198563.6870039252,0.5198375141728622,65.71006369603384,1.4151040770686392,0.1462436177972283,0.09871140286895211
2022-01-01,2022,1,1,1712,1689,2431,146386.3302321434,20321.54003930092,12394.470024585724,113670.32016825676,59302.69074627908,0.521707783161851,66.39621505155185,1.4199766355140186,0.15178938708350473,0.0941999177293295
2021-03-01,2021,3,1,983,976,1395,79809.52008461952,11745.370014190674,7085.449981927872,60978.70008850098,31636.312079726667,0.5188092241030318,62.03326560376498,1.4191251271617498,0.13333333333333333,0.09032258064516129
2019-10-01,2019,10,1,329,326,476,28853.820011157542,6000.4999849796295,2633.6899976730347,20219.63002850488,10693.067252950459,0.5288458412876879,61.45784203192972,1.446808510638298,0.1869747899159664,0.08823529411764706
2021-05-01,2021,5,1,1106,1096,1574,95554.13011026382,13470.620013952255,8081.719979286194,74001.79011702538,38389.15672219999,0.5187598389375706,66.90939431919112,1.423146473779385,0.1473951715374841,0.09275730622617535
2020-03-01,2020,3,1,513,507,727,45123.50999522209,6722.419978141785,4599.099999427795,33801.99001765251,17551.185934791127,0.5192352854262521,65.89081874786065,1.4171539961013646,0.15543328748280605,0.07840440165061899
2020-07-01,2020,7,1,701,694,979,58806.59002375603,8555.43000459671,5975.36999130249,44275.79002785683,22939.18495494465,0.5180976994540829,63.160898755858526,1.3965763195435092,0.13789581205311544,0.0898876404494382
2019-12-01,2019,12,1,361,359,502,31094.880051612854,3788.990008831024,2712.740008354187,24593.150034427643,12873.979626534541,0.5234782697016209,68.12506934744499,1.3905817174515236,0.13147410358565736,0.09362549800796813
2019-09-01,2019,9,1,244,243,317,20081.960017204285,2212.3000020980835,1304.3800029754639,16565.280012130737,8614.673337718461,0.520043931126425,67.89049185299483,1.2991803278688525,0.11356466876971609,0.07886435331230283
2019-02-01,2019,2,1,36,36,46,2390.240008354187,238.9900016784668,324.98999977111816,1826.260006904602,902.0042529488335,0.4939079044268592,50.729444636238945,1.2777777777777777,0.08695652173913043,0.15217391304347827
2022-06-01,2022,6,1,1993,1965,2853,173028.2102254629,24709.0700340271,14965.570043563843,133353.57014787197,69600.58532452874,0.5219251741618214,66.91097348111991,1.4315102860010036,0.1433578689099194,0.10059586400280407
2021-12-01,2021,12,1,1573,1559,2268,130645.02016450837,21519.35002471879,13174.959993124008,95950.71014666557,49371.99059947043,0.5145557601814809,60.998544276329035,1.4418308963763509,0.15299823633156967,0.09303350970017636
2024-03-01,2024,3,1,7122,6568,10040,594568.6506636143,93183.62012803555,60050.820075035095,441334.21046054363,229097.54008933972,0.5191021558248805,61.967735251410225,1.4097163718056727,0.15288844621513945,0.09800796812749003
2022-02-01,2022,2,1,1541,1522,2164,127164.5002155304,17157.319991588593,11991.790011882782,98015.39021205902,51247.02068445227,0.5228466730946836,63.60505529659898,1.4042829331602855,0.13170055452865065,0.09704251386321626
2019-08-01,2019,8,1,231,229,345,20142.05008816719,2636.1400184631348,1945.2500112056732,15560.660058498383,8195.401012111432,0.5266743815045012,67.36216475540425,1.4935064935064934,0.1681159420289855,0.11014492753623188
2021-01-01,2021,1,1,977,967,1390,80213.98998689651,11825.37000989914,6445.859973907471,61942.760003089905,32255.381651725816,0.5207288414354933,63.40098260295794,1.4227226202661207,0.14892086330935253,0.07194244604316546
